***************Breathing Rate************
***************** 16/3/2013****************

47973322,512,512,512,1023,511,511,511,1023,511,511,511,1023,511,511,510,1022,510,510
47974329,510,511,511,1023,511,511,511,1023,511,510,510,1022,510,510,510,1022,511,511
47975338,511,511,511,512,512,512,512,512,512,512,513,513,513,513,513,513,514,514
47976346,514,514,514,513,513,513,513,512,512,512,512,512,512,511,511,1022,510,510
47977355,510,510,510,1022,510,510,510,1022,510,510,510,1022,510,510,510,1022,510,510
47978362,510,510,510,1022,510,510,510,1022,511,511,511,512,512,512,513,513,513,513
47979371,513,513,514,1022,514,514,515,1023,515,516,516,516,517,517,517,1022,518,518
47980379,518,518,518,517,517,516,515,1023,514,513,513,512,512,512,511,1023,511,511
47981387,511,511,510,1022,510,509,509,1022,510,510,510,1022,510,510,510,1022,509,509
47982398,509,509,509,509,509,509,510,509,509,509,509,509,509,509,510,1022,510,511
47983407,511,512,512,512,513,513,513,513,514,514,515,1023,515,515,516,516,516,516
47984415,516,516,516,516,515,515,515,1023,514,513,513,512,512,512,511,1023,511,511
47985423,511,510,510,1022,510,509,509,509,509,509,509,1022,510,510,510,1022,510,511
47986431,512,513,514,1023,516,517,517,516,516,516,516,516,516,516,516,516,516,515
47987439,515,515,515,1023,514,514,514,1022,513,513,512,512,512,512,512,512,512,512
47988447,512,512,511,1023,511,511,511,1023,511,511,511,1023,511,511,511,1023,511,511
47989455,511,511,510,1022,510,510,511,1023,511,511,512,512,512,512,512,512,512,512
47990463,513,513,513,513,513,512,512,512,512,512,511,1023,511,510,509,509,508,508
47991472,507,507,508,508,509,509,510,1022,511,511,513,1023,516,519,520,1022,523,523
47992481,525,527,531,533,535,538,539,1023,538,538,537,537,536,536,536,536,536,537
47993489,538,538,540,541,543,544,545,1022,545,543,542,1022,543,545,552,557,563,575
47994496,581,591,595,1022,601,600,594,1022,584,570,563,1023,540,532,519,1022,505,502
47995505,500,498,498,1023,501,502,505,1022,509,510,511,512,512,511,511,1022,508,507
47996514,506,505,505,504,504,503,504,504,505,505,506,1023,508,509,509,1022,510,511
47997528,511,511,511,1023,511,511,511,1023,511,511,511,1023,512,512,512,512,513,513
47998537,513,514,514,1023,515,515,516,516,516,517,517,517,518,518,518,1022,519,519
47999540,519,519,519,1023,519,518,518,517,517,516,515,1022,514,513,512,512,511,511
48000553,511,510,510,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509
48001561,509,509,509,509,509,509,509,509,510,510,510,1022,511,511,511,512,512,512
48002569,513,513,513,1022,514,514,514,1023,515,515,515,1023,515,515,515,1023,515,515
48003577,514,514,514,1022,513,513,513,512,512,512,512,1023,510,510,509,508,508,508
48004585,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508
48005595,508,508,508,508,508,508,508,509,509,510,510,1023,511,511,510,1022,510,510
48006602,510,510,510,1022,510,509,509,509,509,509,509,509,509,509,509,509,509,509
48007612,509,509,509,509,509,510,510,1022,510,511,511,1023,512,512,512,512,512,511
48008618,511,511,511,1023,511,511,510,1022,510,510,510,1022,510,510,510,1022,510,510
48009627,510,510,510,1022,510,510,510,1022,510,509,509,509,509,509,509,509,509,509
48010638,509,509,509,509,509,509,509,1022,510,510,510,1022,510,510,510,1022,509,509
48011641,509,508,508,1023,506,506,506,1023,507,508,508,1023,506,505,505,1022,508,510
48012653,516,519,523,525,525,527,528,1022,531,532,533,533,533,533,532,532,533,533
48013662,533,534,534,1022,533,533,532,1023,530,527,526,525,524,524,523,1023,524,524
48014669,524,524,523,1023,521,521,523,524,525,527,527,1023,525,523,519,516,512,511
48015678,509,508,508,508,508,508,507,1022,505,504,503,1022,503,504,505,505,507,507
48016686,507,507,507,1023,507,508,509,509,509,509,508,1023,506,505,504,1023,503,503
48017693,502,502,502,1022,502,503,503,504,505,505,506,1023,507,508,508,508,507,507
48018702,507,507,507,1022,506,507,507,1023,507,508,508,508,509,510,510,1023,511,511
48019709,512,512,512,512,511,511,511,1023,510,510,510,1022,510,510,509,509,509,509
48020717,510,511,511,513,513,514,515,1023,516,516,516,516,516,516,516,1023,515,514
48021726,514,513,513,512,512,512,512,512,512,512,511,1023,511,511,511,1023,511,511
48022735,511,510,510,1022,509,509,509,509,509,509,509,509,508,508,508,508,508,508
48023742,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508
